title,url,content,create_time,author
Re: [閒聊] 2026 蝦皮手續費調整,https://www.ptt.cc/bbs/e-seller/M.1766709922.A.B11.html,"各位注意啦，今天是最後期限！

沒選方案一的 +6%：

明年就會全都都自動採方案二的每筆 +$60：

蝦皮就是要套殺你各位了，斟酌自己賣場每單金額平均是多少，做好選擇吧！

我個人是選 6%，然後全部調高售價由買家吸收。

批次更新賣場",2025-12-26 08:45:18,mstar (Wayne Su)
[問題] 蝦皮賣家頁面壞了？,https://www.ptt.cc/bbs/e-seller/M.1766666529.A.380.html,好幾天了，蝦皮賣家頁面和賣家中心App都登入不了也一直讀取中,2025-12-25 20:42:07,joseph1357 (joseph)
[問題] 關於蝦皮明年新竹貨運的運費收取,https://www.ptt.cc/bbs/e-seller/M.1766476558.A.EEC.html,"乳提
新竹貨運有滿額免運，但超過材積的部份要向賣家收錢
但如果金額達到原廠的免運金額就會讓原廠直接寄出
客人選新竹貨運，我還可以請原廠出貨，還是叫貨進來再寄出?
請原廠出貨的話，超過材積的部份，我還要付錢??",2025-12-23 15:55:56,hihimen (aa)
[問題] 明明已出貨 蝦皮卻顯示未出貨,https://www.ptt.cc/bbs/e-seller/M.1766225704.A.D91.html,"如題 我昨天在蝦皮店面印出貼紙後 要刷出貨時
畫面就顯示此筆已出貨
問了店員 也沒得到答案 就叫我正常寄即可
結果今天系統依然顯示未出貨 馬上期限就要到了
現在也聯絡不到客服
請問這樣的狀況有人遇過嗎：（ 

Sent from 
BePTT
 on my iPhone 16 Max",2025-12-20 18:15:02,bsmile602 (那我懂你意思了)
[問題] 蝦皮無法出貨了 錯誤代碼30010,https://www.ptt.cc/bbs/e-seller/M.1765470367.A.48A.html,"午夜進入2400才這樣，無法申請店到店編碼
進訂單看也一樣

你賣場中仍有進行中的促銷活動」錯誤代碼 10030

大家也是一樣嗎?",2025-12-12 00:26:05,sellgd (李先生)
[情報] 蝦皮-OK超商物流將於2026/1/1停止包裹服,https://www.ptt.cc/bbs/e-seller/M.1764318176.A.413.html,"因應 OKmart 近期通知，2025年合作合約即將到期，將調整雙方寄取件合作安排。停止蝦皮購物包裹寄取件服務，蝦皮購物將於 2026 年 01 月 01 日（四）停止 OK 超商物流服務，屆時用戶將無法選擇OK超商配送，或透過 OK 超商進行包裹寄取件。

為因應本次服務停止，蝦皮購物將同步調整使用 OK 超商物流之商品設定。為確保調整期間出貨流程順暢，請留意以下事項：

較長備貨商品之物流設定調整

自 2025 年 12 月 01 日（一）起，平台將陸續調整 OK 超商於部分商品中的物流選項：

較長備貨商品將陸續關閉 OK 超商物流選項。

新上架之較長備貨商品亦將無法開啟 OK 超商物流。

OK 超商物流服務停止時間

2026 年 01 月 01 日（四）起，平台將正式停止 OK 超商物流服務，包含下單、寄送與取件。

2026 年 01 月 01 日 23 點 59 分 59 秒前賣家仍可透過賣家中心申請寄件編號，並請留意於期限內寄出，逾期將由系統自動判定訂單不成立。2026 年 01 月 04 日 23 點 59 分 59 秒前為OK 超商門市最晚受理寄件時間。若賣家未能於 2026 年 01 月 01 日 23 點 59 分 59 秒前申請寄件編號因而訂單不成立，蝦皮會主動排除於訂單未完成率計算。

2026 年 01 月 01 日後有收到 OK 超商到店簡訊提醒的買家，仍可至 OK 超商取件。

注意事項

為避免影響您的訂單流程，請賣家務必提前規劃：

若您仍有使用 OK 超商物流之商品，請儘早調整為其他物流運送方式。

若您為 API 串接賣家，請提前同步更新物流設定，以免造成出貨延誤或訂單異常。

蝦皮購物將持續投入物流資源與平台優化，感謝您的理解與配合！

來源：

OK最近瘋狂倒店，正愁附近都沒OK可以寄件了…
這下也算是個好消息吧…",2025-11-28 16:22:54,xxxlsen (senxxx)
Re: [閒聊] 2026 蝦皮手續費調整,https://www.ptt.cc/bbs/e-seller/M.1763635484.A.659.html,"我來整理一下
一般中小型需報稅的賣家費用分析
有錯請指正~

方案一 +6%   方案二 +60元

成交 6%
免運 6%  或60元
金流 2.5%

遇到促銷日2% (不想被收可以參加長期蝦皮回饋收3%)
代開電子發票2.5元
營業稅5%
退貨成本 包材 人力 所得稅另計

: 好像強制所有賣家參加免運方案(+6%或+60元)

: 促銷檔期2%好像也要收了(原本有參加免運方案可以免2%)

: 另外金流手續費2%>2.5%

: 目前手續費

: 成交手續費5.5%

: 金流手續費2.5%

: 免運方案6%

: 促銷檔期2%

: 一下變快20%了

: 

: Sent from JPTT on my iPhone",2025-11-20 18:44:41,wekl ()
[閒聊] 2026 蝦皮手續費調整,https://www.ptt.cc/bbs/e-seller/M.1763621037.A.23E.html,"好像強制所有賣家參加免運方案(+6%或+60元)

促銷檔期2%好像也要收了(原本有參加免運方案可以免2%)

另外金流手續費2%>2.5%

目前手續費
成交手續費5.5%
金流手續費2.5%
免運方案6%
促銷檔期2%

一下變快20%了

Sent from JPTT on my iPhone",2025-11-20 14:43:54,Au0y4 (修撻)
[問題] 蝦皮拍賣超商收件金額少50元?,https://www.ptt.cc/bbs/e-seller/M.1452783396.A.107.html,"請教一下，
今天有買家下標一筆訂單，結帳的訂單金額是500元，
上面也顯示買家應付金額500元，
他是使用7-11取貨付款，剛才去7-11列印出貨單，
但是上面顯示運費0元，
收件人付款金額 450元，
請問為什麼會這樣呢?
謝謝",2016-01-14 22:56:33,kam17789 (悟)
[問題] 蝦皮可以合併訂單出貨嘛?,https://www.ptt.cc/bbs/e-seller/M.1452757572.A.798.html,"客戶分了兩筆訂單下訂
這樣我就會有兩個出貨單號
有辦法合併成一個出貨單號就好嗎?
或著是可以一個箱子上貼兩筆出貨單嗎?
還要去找一個箱子有那麼一點點麻煩
也怕客戶不清楚只領了一個箱子漏掉另一個

順便問一下
蝦皮在手機app上怎麼看客戶下訂的選項?
我只有在電腦上看的到
手機上都看不到(Android系統)
更改商品內容也無法更改選項
謝謝",2016-01-14 15:46:09,yier (對不起.................)
[問題] 蝦皮拍賣出貨時限,https://www.ptt.cc/bbs/e-seller/M.1452658249.A.C2B.html,"我的商品是2/11回台 2/12寄出
已跟客人確認好出貨時間
但是當初上架時出貨天數我設定""3天""
來不及改好客人已經下標匯款了
我這邊顯示請在1/16前出貨

想請問如果我沒在時間內出貨會怎樣嗎？
該筆訂單會取消嗎?
另外款項是我按出貨後才會在幾天內進來嗎?

第一次用蝦皮先謝謝大家了~~~",2016-01-13 12:10:46,paradisesumm (Q.)
Re: [問題] 蝦皮拍賣的黑貓宅配？,https://www.ptt.cc/bbs/e-seller/M.1452514798.A.D88.html,"想借標題問ㄧ下
我是賣家
我在1/7的訂單（已按出貨）
請問推文有說黑貓會來收貨
但到現在都還沒來取件耶？
是要自己聯絡嗎？
那這樣怎知道免運費呢？
謝謝",2016-01-11 20:19:56,momolala (kolia)
[問題] 急!蝦皮拍賣黑貓貨到付款,https://www.ptt.cc/bbs/e-seller/M.1452129271.A.A87.html,"請問官方黑貓免運活動有包含黑貓貨到付款服務嗎?
賣家需要負擔額外的費用嗎?

買家說他沒有信用卡也沒有帳戶(???

謝謝",2016-01-07 09:14:29,tiiyuway (tii)
[問題] 蝦皮退款,https://www.ptt.cc/bbs/e-seller/M.1451894825.A.360.html,"最近小弟買了一些東西退款之後

對方取消交易我自己是用VISA刷的

退款之後隔了快一個禮拜都還沒收到

問了克服也是說要大約5天以上

不知道大大們有沒有從蝦皮那邊退過款的

好像是像8591那樣先到蝦皮那邊才撥給

賣家的 有退款過的大約都幾天才會回到

帳戶中？",2016-01-04 16:07:03,prozen21 (Seize)
[問題] 蝦皮拍賣的黑貓宅配？,https://www.ptt.cc/bbs/e-seller/M.1451274825.A.D5C.html,"請問一下蝦皮拍賣若選用黑貓宅配的話，

都要等黑貓來取件嗎？

還是也可以主動送件？

因為等它來好像不太好掌握時間…

謝謝!",2015-12-28 11:53:43,breakingdown (As time goes by)
[問題] 蝦皮7-11貨到付款問題,https://www.ptt.cc/bbs/e-seller/M.1451202645.A.EFE.html,"最近剛開始用蝦皮，最近真的有人下標，但是是用7-11貨到付款
請問
1.如果買家一直不去取貨，賣家會有什麼損失?
2.有地方可以關掉取貨付款的設定嗎?
感謝大家",2015-12-27 15:50:43,mininanako (nanako)
[問題] 蝦皮免運費結束,https://www.ptt.cc/bbs/e-seller/M.1450787902.A.571.html,"大家好

小弟好奇有個問題，想問各位業主

前幾天看蝦皮通知說，黑貓免運費好像到明年1/8

想必剛推出的店到店優惠也會有截止日期

目前觀察，發覺客人只把蝦皮當一個免運費的純下標平台

真正得到資訊的平台大多還是在YAHOO、露天

想問各位如果免運費優惠結束了，大家還會用蝦皮嗎?

如果蝦皮沒有太大的差異性、沒有優惠、商品種類又不比老牌的拍賣網站

唯一的優勢就剩聊天室跟推撥而已，你們還會把商品放到蝦皮賣嗎?",2015-12-22 20:38:19,yangpop (喔~)
[問題] 蝦皮撥款,https://www.ptt.cc/bbs/e-seller/M.1450705943.A.A14.html,"請問有人用元大銀行當預設撥款戶頭嗎？我收過一筆款項，之後的款項都沒收到，帳戶就
被列為拒絕戶，有人也遇到這種問題嗎？明明這戶頭有收過款項了。",2015-12-21 21:52:21,wack200186 (sweet make life better)
[問題] 蝦皮付費方式及撥款,https://www.ptt.cc/bbs/e-seller/M.1450088782.A.EC9.html,"因為有些東西是預購，必須要買家先付款以防跑單，這方面蝦皮網拍是下標即代表付款嗎
？還是我必須設定只能先付款，但錢是由蝦皮保管，等整筆交易完成才會撥款給我？？
                                 另外蝦皮撥款時間大約都多久呢？",2015-12-14 18:26:19,wack200186 (sweet make life better)
Re: [問題] 有人用過蝦皮嗎？,https://www.ptt.cc/bbs/e-seller/M.1449753420.A.05E.html,,2015-12-10 21:16:57,feytsai (mei)
Re: [問題] 有人用過蝦皮嗎？我有用喔，目前可能是新的app關係，只,https://www.ptt.cc/bbs/e-seller/M.1449753351.A.244.html,": 露天待好幾年了，那天看到電視廣告，想知道有人使用蝦皮會比露天好銷貨嗎？

: 我主要是清倉的那種，不是靠拍賣賺錢，賣多賣少無所謂

: 只是我有看蝦皮的問答，取款方式比較麻煩，怕碰到退貨達人XD

: 想聽聽使用後的心得。感謝～

: 手機排版～請見諒",2015-12-10 21:15:48,feytsai (mei)
Re: [問題] 請問各位蝦皮拍賣怎麼對帳,https://www.ptt.cc/bbs/e-seller/M.1449708128.A.E4C.html,"我發現可以到 
我的進帳 -> 撥款金額

這樣就可以每天的撥款紀錄,銀行簿子每天都有匯款紀錄,
這樣金額就對了

我今天還收到蝦皮的信跟電話,多匯款了一筆錢給我,
要我退費給它們,
就是多這一筆錢,總金額都有錯誤.~~

聽說黑貓免運費成本太高,好像也準備推 超商寄送 免運費的服務
好像一起實行.

有宅配送,誰要跑超商呀~~

感謝
大家協助

: 蝦皮如果偶爾賣一兩個東西

: 錢進來了很好對

: 但是如果數量比較多

: 不知道各位大大是怎樣對帳的呢

: 我知道手機APP會提示即將撥款 跟已完成撥款

: 可是收款帳號 有時候一天只有一筆 有時候兩三筆

: 金額不知道她是怎麼分的

: 假設我收款是100 50 180

: 可是我帳戶可能會收到

: 100 跟230 類似這樣

: 想問看看有沒有經驗的大大 知道怎麼看 轉入的款項

: 是哪筆訂單的款項呢

: 有寫信問蝦皮 不過沒有回應...",2015-12-10 08:42:06,chosen (zz號：)
[問題] 蝦皮拍賣折扣問題,https://www.ptt.cc/bbs/e-seller/M.1449480881.A.6EF.html,"最近有開始使用蝦皮拍賣

但看有的賣家商品有標示8折 / 6.5折 /9 折之類

想請問折扣要如何設定呢?

還是蝦皮隨機抽取賣家打折?

謝謝",2015-12-07 17:34:37,qiu01226 ((最近得團多災多難..囧))
[問題] 請問各位蝦皮拍賣怎麼對帳,https://www.ptt.cc/bbs/e-seller/M.1449294515.A.70E.html,"蝦皮如果偶爾賣一兩個東西
錢進來了很好對

但是如果數量比較多
不知道各位大大是怎樣對帳的呢

我知道手機APP會提示即將撥款 跟已完成撥款

可是收款帳號 有時候一天只有一筆 有時候兩三筆
金額不知道她是怎麼分的
假設我收款是100 50 180
可是我帳戶可能會收到
100 跟230 類似這樣

想問看看有沒有經驗的大大 知道怎麼看 轉入的款項
是哪筆訂單的款項呢

有寫信問蝦皮 不過沒有回應...",2015-12-05 13:48:31,givigan (天晴空)
[心得] 蝦皮--黑貓運送問題,https://www.ptt.cc/bbs/e-seller/M.1449232310.A.788.html,"今天超級不爽的，蝦皮說預計12/4(五)貨運會來收。
今天等了一整天，連個鬼影都沒有。

昨天app說：明日12/6會來收貨!?
今天app說：今日12/7會來收貨!?
泥馬哩！今天明明就是12/4！
有取見配送問題請致電黑貓(02)412-8888
這是什麼鬼電話號碼？根本不通...............................
爛爛爛爛爛爛爛",2015-12-04 20:31:48,eat8bq (刁刀刁)
[問題] 有人用過蝦皮嗎？,https://www.ptt.cc/bbs/e-seller/M.1448272291.A.2ED.html,"露天待好幾年了，那天看到電視廣告，想知道有人使用蝦皮會比露天好銷貨嗎？
我主要是清倉的那種，不是靠拍賣賺錢，賣多賣少無所謂
只是我有看蝦皮的問答，取款方式比較麻煩，怕碰到退貨達人XD
想聽聽使用後的心得。感謝～

手機排版～請見諒",2015-11-23 17:51:28,sowe0613 (Vicky)
[閒聊] 旋轉 vs. 蝦皮,https://www.ptt.cc/bbs/e-seller/M.1440555152.A.156.html,"最近接觸手機拍賣軟體
以前只有在使用 露天＆yahoo

其實 露天跟yahoo也有出app
但是露天的app只能說是網頁的app版
所以開始使用手機拍賣app之後
就冷凍了露天(不然在還沒有手機拍賣app時 我是選使用露天 而冷凍yahoo 因為非常討厭
輕鬆付 因為不是專職賣家 總是不想付成交手續費 輕鬆付會被強迫綁死成交手續費)

接著使用了 旋轉 賣出去的機會有比較多
但是 殺價很扯的狀況 大概100%
因為旋轉大部分都像我這種非專職賣家 只是出清一些自己的囤貨
買家就一副很理所當然亂砍 白目的相對來說 超級超級多 而且也沒有什麼機制避免
慢慢的也不想使用旋轉了

聽說還有一個蝦皮 但還沒實際使用
畢竟東西都刊在旋轉了
要重新一筆一筆刊登 實在太累

有人使用過兩者 推薦使用哪個嗎",2015-08-26 10:12:30,AMPM (  )
[問題] 蝦皮拍賣超商收件金額少50元?,https://www.ptt.cc/bbs/e-seller/M.1452783396.A.107.html,"請教一下，
今天有買家下標一筆訂單，結帳的訂單金額是500元，
上面也顯示買家應付金額500元，
他是使用7-11取貨付款，剛才去7-11列印出貨單，
但是上面顯示運費0元，
收件人付款金額 450元，
請問為什麼會這樣呢?
謝謝",2016-01-14 22:56:33,kam17789 (悟)
[問題] 蝦皮可以合併訂單出貨嘛?,https://www.ptt.cc/bbs/e-seller/M.1452757572.A.798.html,"客戶分了兩筆訂單下訂
這樣我就會有兩個出貨單號
有辦法合併成一個出貨單號就好嗎?
或著是可以一個箱子上貼兩筆出貨單嗎?
還要去找一個箱子有那麼一點點麻煩
也怕客戶不清楚只領了一個箱子漏掉另一個

順便問一下
蝦皮在手機app上怎麼看客戶下訂的選項?
我只有在電腦上看的到
手機上都看不到(Android系統)
更改商品內容也無法更改選項
謝謝",2016-01-14 15:46:09,yier (對不起.................)
[問題] 蝦皮拍賣出貨時限,https://www.ptt.cc/bbs/e-seller/M.1452658249.A.C2B.html,"我的商品是2/11回台 2/12寄出
已跟客人確認好出貨時間
但是當初上架時出貨天數我設定""3天""
來不及改好客人已經下標匯款了
我這邊顯示請在1/16前出貨

想請問如果我沒在時間內出貨會怎樣嗎？
該筆訂單會取消嗎?
另外款項是我按出貨後才會在幾天內進來嗎?

第一次用蝦皮先謝謝大家了~~~",2016-01-13 12:10:46,paradisesumm (Q.)
Re: [問題] 蝦皮拍賣的黑貓宅配？,https://www.ptt.cc/bbs/e-seller/M.1452514798.A.D88.html,"想借標題問ㄧ下
我是賣家
我在1/7的訂單（已按出貨）
請問推文有說黑貓會來收貨
但到現在都還沒來取件耶？
是要自己聯絡嗎？
那這樣怎知道免運費呢？
謝謝",2016-01-11 20:19:56,momolala (kolia)
[問題] 急!蝦皮拍賣黑貓貨到付款,https://www.ptt.cc/bbs/e-seller/M.1452129271.A.A87.html,"請問官方黑貓免運活動有包含黑貓貨到付款服務嗎?
賣家需要負擔額外的費用嗎?

買家說他沒有信用卡也沒有帳戶(???

謝謝",2016-01-07 09:14:29,tiiyuway (tii)
[問題] 蝦皮退款,https://www.ptt.cc/bbs/e-seller/M.1451894825.A.360.html,"最近小弟買了一些東西退款之後

對方取消交易我自己是用VISA刷的

退款之後隔了快一個禮拜都還沒收到

問了克服也是說要大約5天以上

不知道大大們有沒有從蝦皮那邊退過款的

好像是像8591那樣先到蝦皮那邊才撥給

賣家的 有退款過的大約都幾天才會回到

帳戶中？",2016-01-04 16:07:03,prozen21 (Seize)
[問題] 蝦皮拍賣的黑貓宅配？,https://www.ptt.cc/bbs/e-seller/M.1451274825.A.D5C.html,"請問一下蝦皮拍賣若選用黑貓宅配的話，

都要等黑貓來取件嗎？

還是也可以主動送件？

因為等它來好像不太好掌握時間…

謝謝!",2015-12-28 11:53:43,breakingdown (As time goes by)
[問題] 蝦皮7-11貨到付款問題,https://www.ptt.cc/bbs/e-seller/M.1451202645.A.EFE.html,"最近剛開始用蝦皮，最近真的有人下標，但是是用7-11貨到付款
請問
1.如果買家一直不去取貨，賣家會有什麼損失?
2.有地方可以關掉取貨付款的設定嗎?
感謝大家",2015-12-27 15:50:43,mininanako (nanako)
[問題] 蝦皮免運費結束,https://www.ptt.cc/bbs/e-seller/M.1450787902.A.571.html,"大家好

小弟好奇有個問題，想問各位業主

前幾天看蝦皮通知說，黑貓免運費好像到明年1/8

想必剛推出的店到店優惠也會有截止日期

目前觀察，發覺客人只把蝦皮當一個免運費的純下標平台

真正得到資訊的平台大多還是在YAHOO、露天

想問各位如果免運費優惠結束了，大家還會用蝦皮嗎?

如果蝦皮沒有太大的差異性、沒有優惠、商品種類又不比老牌的拍賣網站

唯一的優勢就剩聊天室跟推撥而已，你們還會把商品放到蝦皮賣嗎?",2015-12-22 20:38:19,yangpop (喔~)
[問題] 蝦皮撥款,https://www.ptt.cc/bbs/e-seller/M.1450705943.A.A14.html,"請問有人用元大銀行當預設撥款戶頭嗎？我收過一筆款項，之後的款項都沒收到，帳戶就
被列為拒絕戶，有人也遇到這種問題嗎？明明這戶頭有收過款項了。",2015-12-21 21:52:21,wack200186 (sweet make life better)
[問題] 蝦皮付費方式及撥款,https://www.ptt.cc/bbs/e-seller/M.1450088782.A.EC9.html,"因為有些東西是預購，必須要買家先付款以防跑單，這方面蝦皮網拍是下標即代表付款嗎
？還是我必須設定只能先付款，但錢是由蝦皮保管，等整筆交易完成才會撥款給我？？
                                 另外蝦皮撥款時間大約都多久呢？",2015-12-14 18:26:19,wack200186 (sweet make life better)
Re: [問題] 有人用過蝦皮嗎？,https://www.ptt.cc/bbs/e-seller/M.1449753420.A.05E.html,,2015-12-10 21:16:57,feytsai (mei)
Re: [問題] 有人用過蝦皮嗎？我有用喔，目前可能是新的app關係，只,https://www.ptt.cc/bbs/e-seller/M.1449753351.A.244.html,": 露天待好幾年了，那天看到電視廣告，想知道有人使用蝦皮會比露天好銷貨嗎？

: 我主要是清倉的那種，不是靠拍賣賺錢，賣多賣少無所謂

: 只是我有看蝦皮的問答，取款方式比較麻煩，怕碰到退貨達人XD

: 想聽聽使用後的心得。感謝～

: 手機排版～請見諒",2015-12-10 21:15:48,feytsai (mei)
Re: [問題] 請問各位蝦皮拍賣怎麼對帳,https://www.ptt.cc/bbs/e-seller/M.1449708128.A.E4C.html,"我發現可以到 
我的進帳 -> 撥款金額

這樣就可以每天的撥款紀錄,銀行簿子每天都有匯款紀錄,
這樣金額就對了

我今天還收到蝦皮的信跟電話,多匯款了一筆錢給我,
要我退費給它們,
就是多這一筆錢,總金額都有錯誤.~~

聽說黑貓免運費成本太高,好像也準備推 超商寄送 免運費的服務
好像一起實行.

有宅配送,誰要跑超商呀~~

感謝
大家協助

: 蝦皮如果偶爾賣一兩個東西

: 錢進來了很好對

: 但是如果數量比較多

: 不知道各位大大是怎樣對帳的呢

: 我知道手機APP會提示即將撥款 跟已完成撥款

: 可是收款帳號 有時候一天只有一筆 有時候兩三筆

: 金額不知道她是怎麼分的

: 假設我收款是100 50 180

: 可是我帳戶可能會收到

: 100 跟230 類似這樣

: 想問看看有沒有經驗的大大 知道怎麼看 轉入的款項

: 是哪筆訂單的款項呢

: 有寫信問蝦皮 不過沒有回應...",2015-12-10 08:42:06,chosen (zz號：)
[問題] 蝦皮拍賣折扣問題,https://www.ptt.cc/bbs/e-seller/M.1449480881.A.6EF.html,"最近有開始使用蝦皮拍賣

但看有的賣家商品有標示8折 / 6.5折 /9 折之類

想請問折扣要如何設定呢?

還是蝦皮隨機抽取賣家打折?

謝謝",2015-12-07 17:34:37,qiu01226 ((最近得團多災多難..囧))
[問題] 請問各位蝦皮拍賣怎麼對帳,https://www.ptt.cc/bbs/e-seller/M.1449294515.A.70E.html,"蝦皮如果偶爾賣一兩個東西
錢進來了很好對

但是如果數量比較多
不知道各位大大是怎樣對帳的呢

我知道手機APP會提示即將撥款 跟已完成撥款

可是收款帳號 有時候一天只有一筆 有時候兩三筆
金額不知道她是怎麼分的
假設我收款是100 50 180
可是我帳戶可能會收到
100 跟230 類似這樣

想問看看有沒有經驗的大大 知道怎麼看 轉入的款項
是哪筆訂單的款項呢

有寫信問蝦皮 不過沒有回應...",2015-12-05 13:48:31,givigan (天晴空)
